               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.052957,            0.015428,           0.0042467,             0.14864,             0.20448,             0.13643,             0.04653,            0.057835,            0.010728,            0.027118,            0.006535,            0.006535,            0.006535
                  37,            0.047919,            0.012697,           0.0030246,             0.19776,             0.13395,             0.10355,            0.028967,            0.057527,            0.011223,            0.025937,            0.006436,            0.006436,            0.006436
                  38,            0.045789,            0.014559,           0.0032017,             0.20707,             0.21478,             0.15288,            0.058799,            0.056137,            0.011652,            0.024808,            0.006337,            0.006337,            0.006337
                  39,            0.043012,            0.016358,           0.0043303,             0.16129,             0.15852,             0.12731,             0.03535,            0.056883,            0.011375,             0.02649,            0.006238,            0.006238,            0.006238
                  40,            0.047498,            0.012737,           0.0028379,             0.22466,             0.23607,             0.17701,            0.055957,            0.055474,            0.011244,            0.027083,            0.006139,            0.006139,            0.006139
                  41,            0.042402,            0.013656,           0.0023762,             0.19267,             0.18175,             0.16823,            0.049736,            0.056526,             0.01095,            0.029354,             0.00604,             0.00604,             0.00604
                  42,            0.045204,             0.01237,           0.0047896,             0.21007,             0.20265,             0.18066,            0.066121,            0.055877,             0.01104,            0.030053,            0.005941,            0.005941,            0.005941
                  43,            0.039454,            0.012269,           0.0025293,             0.18973,             0.19082,             0.17242,             0.04629,            0.057522,            0.010965,            0.030128,            0.005842,            0.005842,            0.005842
                  44,            0.045097,            0.014163,           0.0024952,             0.21811,             0.22628,             0.19115,            0.068143,             0.05729,            0.010838,             0.02875,            0.005743,            0.005743,            0.005743
                  45,            0.039845,             0.01115,           0.0024709,             0.20985,             0.24309,             0.18693,             0.05745,            0.056282,            0.011303,            0.029056,            0.005644,            0.005644,            0.005644
                  46,            0.040526,             0.01051,           0.0020825,             0.22523,             0.20808,             0.16862,            0.058291,            0.057713,            0.011092,            0.028166,            0.005545,            0.005545,            0.005545
                  47,            0.035768,            0.012427,           0.0021026,             0.20313,              0.2254,             0.18406,            0.050362,            0.056915,            0.011344,            0.027752,            0.005446,            0.005446,            0.005446
                  48,            0.043136,             0.01366,           0.0022499,             0.22291,             0.22807,             0.17288,            0.058103,            0.056571,            0.011175,            0.027383,            0.005347,            0.005347,            0.005347
                  49,            0.037889,            0.012181,           0.0019032,             0.18426,             0.18564,             0.14294,             0.04485,             0.05801,            0.011156,            0.027598,            0.005248,            0.005248,            0.005248
                  50,             0.04153,            0.012459,           0.0018526,              0.1959,             0.22188,             0.17242,             0.05446,            0.057069,            0.011283,            0.028597,            0.005149,            0.005149,            0.005149
                  51,            0.034868,            0.012177,           0.0018432,             0.18483,              0.2038,             0.16161,            0.053972,            0.058242,            0.011262,            0.028919,             0.00505,             0.00505,             0.00505
                  52,            0.040372,            0.014019,           0.0017238,             0.23592,             0.22245,             0.18853,            0.060269,            0.057651,            0.011244,            0.028775,            0.004951,            0.004951,            0.004951
                  53,            0.036356,            0.012553,           0.0013977,             0.22068,             0.22501,             0.18238,             0.05606,            0.058158,            0.011105,            0.028767,            0.004852,            0.004852,            0.004852
                  54,            0.037903,             0.01223,           0.0014389,             0.22011,             0.21194,             0.17945,            0.068976,            0.058885,            0.010888,             0.02826,            0.004753,            0.004753,            0.004753
                  55,            0.037477,            0.011006,           0.0014293,             0.19173,             0.22188,             0.17894,            0.057721,            0.057161,            0.011317,            0.028975,            0.004654,            0.004654,            0.004654
                  56,             0.03537,            0.011336,           0.0010368,             0.21931,             0.21485,             0.18914,            0.070738,            0.057693,            0.011323,            0.027656,            0.004555,            0.004555,            0.004555
                  57,            0.035726,             0.01225,            0.001576,             0.22549,             0.19513,             0.18008,            0.055063,            0.057542,            0.011519,            0.027607,            0.004456,            0.004456,            0.004456
                  58,            0.034178,            0.011345,           0.0012865,             0.25274,             0.19597,             0.18844,            0.066029,            0.057808,            0.011578,            0.027223,            0.004357,            0.004357,            0.004357
